total amount = 4, total summ = 420, Oil = 3, Spark = 0, Tire =  1, Adress: , Date: 9 July 2018
total amount = 4, total summ = 420, Oil = 3, Spark = 0, Tire =  1, Adress: , Date: 9 July 2018
total amount = 4, total summ = 420, Oil = 3, Spark = 0, Tire =  1, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
total amount = 2, total summ = 120, Oil = 2, Spark = 0, Tire =  0, Adress: , Date: 9 July 2018
